"velocity","Alstom 1MW","Alstom Beluga 9","Andritz Hydro Hammerfest HS1500","Atlantis AR1000","Atlantis AR1500","Atlantis AR2000","MCT SeaGen 600kW","MCT SeaGen-S 2MW","Nova Innovation M100","ORPC TidGen","Orbital Marine Power Orbital O2","Orbital Marine Power SR2000","Sabella D10","Sabella D15","Tidal Energy Pty Ltd DHV","Verdant Gen4","Verdant Gen5","Voith 1 MW test","TTL 1 MW 3 ms Limit","TTL 1 MW 5 ms Limit"
6.65,0,5.41525233798069,0,5.41525233798069,8.12287850697103,10.8305046759614,3.24915140278841,10.8305046759614,0.541525233798069,0.758135327317296,0,10.8305046759614,5.41525233798069,13.5381308449517,0.920592897456717,0.303254130926918,1.47294863593075,5.41525233798069,0,5.41525233798069
6.66,0,5.1870239724572,0,5.1870239724572,7.7805359586858,10.3740479449144,3.11221438347432,10.3740479449144,0.51870239724572,0.726183356144008,0,10.3740479449144,5.1870239724572,12.967559931143,0.881794075317723,0.290473342457603,1.41087052050836,5.1870239724572,0,5.1870239724572
6.67,0,4.96496469793758,0,4.96496469793758,7.44744704690637,9.92992939587516,2.97897881876255,9.92992939587516,0.496496469793758,0.695095057711261,0,9.92992939587516,4.96496469793758,12.4124117448439,0.844043998649388,0.278038023084504,1.35047039783902,4.96496469793758,0,4.96496469793758
6.68,0,4.74888604494521,0,4.74888604494521,7.12332906741782,9.49777208989043,2.84933162696713,9.49777208989043,0.474888604494521,0.66484404629233,0,9.49777208989043,4.74888604494521,11.872215112363,0.807310627640687,0.265937618516932,1.2916970042251,4.74888604494521,0,4.74888604494521
6.69,0,4.60353989802031,0,4.60353989802031,6.90530984703046,9.20707979604061,2.76212393881218,9.20707979604061,0.460353989802031,0.644495585722843,0,9.20707979604061,4.60353989802031,11.5088497450508,0.782601782663452,0.257798234289137,1.25216285226152,4.60353989802031,0,4.60353989802031
6.7,0,4.39968906778387,0,4.39968906778387,6.5995336016758,8.79937813556774,2.63981344067032,8.79937813556774,0.439968906778387,0.615956469489742,0,8.79937813556774,4.39968906778387,10.9992226694597,0.747947141523258,0.246382587795897,1.19671542643721,4.39968906778387,0,4.39968906778387
6.71,0,4.2012893077268,0,4.2012893077268,6.3019339615902,8.4025786154536,2.52077358463608,8.4025786154536,0.42012893077268,0.588180503081752,0,8.4025786154536,4.2012893077268,10.503223269317,0.714219182313556,0.235272201232701,1.14275069170169,4.2012893077268,0,4.2012893077268
6.72,0,4.07260081200895,0,4.07260081200895,6.10890121801342,8.14520162401789,2.44356048720537,8.14520162401789,0.407260081200895,0.570164113681253,0,8.14520162401789,4.07260081200895,10.1815020300224,0.692342138041521,0.228065645472501,1.10774742086643,4.07260081200895,0,4.07260081200895
6.73,0,3.88540222429892,0,3.88540222429892,5.82810333644838,7.77080444859784,2.33124133457935,7.77080444859784,0.388540222429892,0.543956311401849,0,7.77080444859784,3.88540222429892,9.7135055607473,0.660518378130816,0.217582524560739,1.05682940500931,3.88540222429892,0,3.88540222429892
6.74,0,3.70316803192243,0,3.70316803192243,5.55475204788364,7.40633606384486,2.22190081915346,7.40633606384486,0.370316803192243,0.51844352446914,0,7.40633606384486,3.70316803192243,9.25792007980607,0.629538565426813,0.207377409787656,1.0072617046829,3.70316803192243,0,3.70316803192243
6.75,0,3.58966704696217,0,3.58966704696217,5.38450057044326,7.17933409392435,2.1538002281773,7.17933409392435,0.358966704696217,0.502553386574704,0,7.17933409392435,3.58966704696217,8.97416761740543,0.610243397983569,0.201021354629882,0.976389436773711,3.58966704696217,0,3.58966704696217
6.76,0,3.41769032537188,0,3.41769032537188,5.12653548805781,6.83538065074375,2.05061419522313,6.83538065074375,0.341769032537187,0.478476645552062,0,6.83538065074375,3.41769032537188,8.54422581342969,0.581007355313219,0.191390658220825,0.92961176850115,3.41769032537188,0,3.41769032537188
6.77,0,3.25023113068509,0,3.25023113068509,4.87534669602764,6.50046226137018,1.95013867841105,6.50046226137018,0.325023113068509,0.455032358295913,0,6.50046226137018,3.25023113068509,8.12557782671273,0.552539292216465,0.182012943318365,0.884062867546345,3.25023113068509,0,3.25023113068509
6.78,0,3.0871470487201,0,3.0871470487201,4.63072057308015,6.1742940974402,1.85228822923206,6.1742940974402,0.30871470487201,0.432200586820814,0,6.1742940974402,3.0871470487201,7.71786762180025,0.524814998282417,0.172880234728326,0.839703997251867,3.0871470487201,0,3.0871470487201
